,Equipment Name,Type,EquipmentPrice,LoanTerm,Free Warranty,additional_warranty,payment,total_payment,finance_product_gain,maintenance_fee,travel_labor,insurance,warranty_fee,buscon_fee,total_interest,total_gain,total_period,yearly_added_value_ratio
19,Runyes Autoclaves,23L B Touchscpeen Autoclave,6363,2,1,2,546.4772537566331,13115.454090159194,5926.77,1718.0099999999998,900,954.45,1018.08,1336.23,825.6840901591931,6752.454090159194,3,0.3104809052333805
20,Dental Chairs               ,Mes Kneebreak Chair Led Light And Chair Only,6500,2,1,2,557.4359027845537,13378.46166682929,6035.0,1755.0,900,975.0,1040.0,1365.0000000000002,843.4616668292892,6878.461666829289,3,0.3094871794871795
21,Dental Chairs               ,Runyes Care11,9500,2,1,2,797.4063194543477,19137.751666904343,8405.0,2565.0,900,1425.0,1520.0,1995.0000000000005,1232.7516669043434,9637.751666904343,3,0.29491228070175435
22,Plant Equipment,Chair Suction One-Chair,10000,2,1,2,837.4013888993134,20097.633333583522,8800.0,2700.0,900,1500.0,1600.0,2100.0000000000005,1297.6333335835225,10097.633333583522,3,0.29333333333333333
23,Dental Chairs               ,Runyes Care 33 For Pediatrics,10455,2,1,2,873.7969020942321,20971.125650261572,9159.45,2822.85,900,1568.25,1672.8,2195.55,1356.6756502615717,10516.125650261572,3,0.2920277379244381
24,Durr Vista Scan,Durr Vista Scan Mini Plus Eu Image Plate Scanner,10909,2,1,2,910.1124251502608,21842.69820360626,9518.11,2945.43,900,1636.3500000000001,1745.44,2290.8900000000003,1415.5882036062612,10933.698203606262,3,0.2908335625019097
25,Dental Chairs               ,Runyes Care 33,11500,2,1,2,957.3865972342103,22977.27833362105,9985.0,3105.0,900,1725.0,1840.0,2415.0000000000005,1492.2783336210487,11477.278333621049,3,0.28942028985507245
26,Runyes 3Ds Scanner,,11817,2,1,2,982.7434712623185,23585.843310295644,10235.43,3190.59,900,1772.5500000000002,1890.72,2481.57,1533.413310295644,11768.843310295644,3,0.2887204874333587
27,Melag Autoclaves,Melag Vacuklav 40B Evolution,13500,2,1,2,1117.366875014073,26816.80500033775,11565.0,3645.0,900,2025.0,2160.0,2835.0000000000005,1751.8050003377502,13316.80500033775,3,0.28555555555555556
28,Melag Autoclaves,Melag Vacuklav 41B Evolution,13545,2,1,2,1120.96643126412,26903.194350338883,11600.55,3657.1499999999996,900,2031.75,2167.2,2844.4500000000003,1757.6443503388837,13358.194350338883,3,0.2854817275747508
29,Melag Autoclaves,Melag Vacuklav 44B Evolution,15000,2,1,2,1237.3520833489702,29696.450000375284,12750.0,4050.0,900,2250.0,2400.0,3150.0,1946.4500003752837,14696.450000375284,3,0.2833333333333333
30,Melag Autoclaves,Melag Vacuklav 43B Evolution,15364,2,1,2,1266.468493904905,30395.243853717722,13037.560000000001,4148.28,900,2304.6000000000004,2458.2400000000002,3226.44,1993.683853717721,15031.243853717722,3,0.28285949839451535
31,Durr Vista Scan,Durr Vistascan Ultra View Image Plate Scanner,15455,2,1,2,1273.7475965438887,30569.942317053326,13109.45,4172.85,900,2318.25,2472.8,3245.55,2005.4923170533257,15114.942317053326,3,0.2827445271217513
32,Dental Chairs               ,Dci Maple 62D,17182,2,1,2,1411.8905664068002,33885.3735937632,14473.779999999999,4639.139999999999,900,2577.3,2749.12,3608.2200000000003,2229.593593763202,16703.3735937632,3,0.28079346603034183
33,Diplomat Dental Chairs               ,Da130 Classic Line,19868,2,1,2,1626.7440794651557,39041.857907163736,16595.72,5364.36,900,2980.2000000000003,3178.88,4172.280000000001,2578.137907163735,19173.857907163736,3,0.27843299107442454
34,Plant Equipment,Chair Suction Three-Four Chair,37273,3,1,2,1977.3961363210683,71186.26090755846,26618.370000000003,10063.71,900,3354.57,4472.76,7827.33,7294.89090755846,33913.26090755846,3,0.23804872159472007
35,Diplomat Dental Chairs               ,Model Pro 500,50909,5,1,2,1895.6230871906641,113737.38523143985,45790.83,12727.250000000002,1500,7636.35,6109.08,17818.15,17037.555231439852,62828.385231439854,5,0.17989286766583515
